0;0,44;0,486;0;0,059
57,5;0,401;0,447;0,038;0,097
115;0,367;0,413;0,072;0,131
172,5;0,336;0,386;0,102;0,16
230;0,309;0,362;0,128;0,185
287,5;0,286;0,342;0,151;0,205
345;0,266;0,319;0,17;0,219
402,5;0,25;0,283;0,186;0,226
460;0,236;0,233;0,199;0,217
517,5;0,225;0,185;0,21;0,206
575;0,216;0,145;0,218;0,194
632,5;0,21;0,123;0,224;0,185
690;0,205;0,119;0,228;0,184
747,5;0,203;0,121;0,231;0,179
805;0,202;0,123;0,231;0,176
862,5;0,202;0,126;0,231;0,172
920;0,203;0,131;0,229;0,174
977,5;0,206;0,134;0,227;0,178
1035;0,209;0,137;0,224;0,179
1092,5;0,212;0,138;0,22;0,181
1150;0,216;0,138;0,216;0,183
1207,5;0,22;0,138;0,212;0,183
1265;0,224;0,14;0,209;0,181
1322,5;0,227;0,144;0,206;0,179
1380;0,229;0,146;0,203;0,175
1437,5;0,231;0,148;0,202;0,17
1495;0,231;0,155;0,202;0,166
1552,5;0,231;0,163;0,203;0,163
1610;0,228;0,171;0,205;0,162
1667,5;0,224;0,178;0,21;0,164
1725;0,218;0,182;0,216;0,175
1782,5;0,21;0,193;0,225;0,197
1840;0,199;0,204;0,236;0,23
1897,5;0,186;0,215;0,25;0,267
1955;0,17;0,228;0,266;0,301
2012,5;0,151;0,223;0,286;0,328
2070;0,128;0,206;0,309;0,35
2127,5;0,102;0,187;0,336;0,375
2185;0,072;0,154;0,367;0,404
2242,5;0,038;0,12;0,401;0,438
2300;0;0,082;0,44;0,477
